"protein","species","quant","Intensity.03_1x_dda","Intensity.04_2x_dda","Intensity.08_2x_dda","Intensity.11_1x_dda","Intensity.15_1x_dda","Intensity.16_2x_dda","Intensity.19_1x_dda","Intensity.20_2x_dda","Intensity.23_1x_dda","Intensity.24_2x_dda","Intensity.28_2x_dda","Intensity.31_1x_dda","Intensity.35_1x_dda","Intensity.36_2x_dda","Intensity.39_1x_dda","Intensity.40_2x_dda"
"sp|P04899|GNAI2_HUMAN","human","dda",4677400,2441559.03851855,NA,2065858.75009401,7442200.57571208,4675493.26353039,3355470.43298342,1714496.59785344,8965873.06261312,9131922.22785605,4103765.3625805,8228151.86143432,3986729.13121222,6789995.3925124,7310297.06320938,6482905.3243719
"sp|P05023|AT1A1_HUMAN","human","dda",66271970,80327008.5412073,89082879.2208331,71565517.0926184,65963276.5570711,62369773.786613,59157786.59593,67764565.8850122,73276951.3618906,73487667.6500347,71215898.2766139,75151430.1930577,84922299.3669269,71092957.3506734,100235764.43459,81193057.834304
"sp|P05114|HMGN1_HUMAN","human","dda",1759100,908101.456394717,944722.613756904,1448108.63683637,1814170.48119147,NA,NA,NA,745627.11371913,841265.685941248,906974.500262657,662347.903221437,238158.9583374,1286289.55620532,1435757.69076695,624630.891856953
"sp|P05141|ADT2_HUMAN","human","dda",576942100,537567745.078698,475015527.555198,626220040.214344,520585362.997118,522583686.364578,527894149.958477,583618206.421214,544798938.618213,536148638.587402,467159657.13104,587575047.706005,488584704.903757,570189707.466606,677735446.967371,508072199.787005
"sp|P05198|IF2A_HUMAN","human","dda",39640000,45084240.2160425,61817376.9509287,56948953.0293289,55210098.115258,55502027.0269801,38045823.194731,39481509.0338483,54462490.0627513,26489597.0031913,62063571.4078662,61091547.7935021,54408843.4756742,64981671.0074492,48308081.6280601,42907285.4408491
"sp|P05386|RLA1_HUMAN","human","dda",235771200,191219288.389514,168053176.48251,192606901.380376,197502903.390985,225326940.403725,201980818.752899,160160749.706254,167540254.211914,230041805.318412,225616105.901292,195157888.586196,220531093.805264,102882207.720523,113110096.058619,181642565.06877
"sp|P05387|RLA2_HUMAN","human","dda",335590600,262181805.638202,301240397.275047,338843333.217811,372169218.069477,321051420.097251,366717435.340525,255289838.078002,283904006.225086,276079139.821815,421122714.426921,319103816.420105,327975045.766014,261676471.071267,240417752.238891,353274573.426438
"sp|P05388|RLA0_HUMAN","human","dda",316445300,219373959.530638,316040827.213661,340537743.591177,303646200.59979,305994572.33681,241895926.004985,323255496.238295,287914622.103388,267238816.672454,255329614.715308,247654569.442,329774450.868079,239352836.146076,269017018.363564,276509431.147805
"sp|P05455|LA_HUMAN","human","dda",99400000,71052904.9301649,67815403.2324118,67288800.8913881,87724450.248946,75503434.7295431,105506692.487126,73921755.7853156,70839401.3539431,79432576.9360655,84907141.6040364,104788103.003368,97476925.0722633,79994399.7886022,98339736.3740856,80584776.7676339
"sp|P05556|ITB1_HUMAN","human","dda",21937100,23799797.0141632,25142291.0343021,23905121.4484936,23486396.1831433,15938486.1446943,13569400.1327505,21045080.0399062,22394160.8093662,16763375.7671458,12321512.4010761,14985110.2830825,28854862.7069339,24267635.2562149,23002486.2130103,13931955.2967563
